136 3
k power error
6.87520e-01 6.30448e+02 2.39859e+00
6.92507e-01 6.16424e+02 2.37709e+00
6.97511e-01 6.05366e+02 2.33717e+00
2.30267e-02 3.13034e+04 4.60256e+03
2.79737e-02 2.67113e+04 3.50305e+03
3.27795e-02 2.30468e+04 2.66862e+03
3.78436e-02 2.15164e+04 1.87274e+03
4.25464e-02 1.95259e+04 1.69692e+03
4.73625e-02 1.75365e+04 1.26583e+03
5.23387e-02 1.48317e+04 1.06263e+03
5.74630e-02 1.36422e+04 8.64881e+02
6.25734e-02 1.27482e+04 7.94903e+02
6.75634e-02 1.26832e+04 6.81285e+02
7.26546e-02 1.12885e+04 5.85365e+02
7.76146e-02 1.15409e+04 5.21135e+02
8.25315e-02 9.16946e+03 4.41968e+02
8.75548e-02 8.28275e+03 3.74541e+02
9.25934e-02 7.24387e+03 3.24792e+02
9.75307e-02 6.45738e+03 2.86105e+02
1.02532e-01 6.14753e+03 2.51294e+02
1.07508e-01 5.80210e+03 2.37868e+02
1.12463e-01 5.49037e+03 2.08457e+02
1.17559e-01 5.29170e+03 1.95176e+02
1.22531e-01 4.78826e+03 1.81758e+02
1.27504e-01 4.22596e+03 1.61797e+02
1.32521e-01 4.23326e+03 1.52923e+02
1.37536e-01 3.56417e+03 1.36172e+02
1.42567e-01 3.67112e+03 1.28386e+02
1.47544e-01 3.33591e+03 1.15866e+02
1.52514e-01 3.21246e+03 1.08553e+02
1.57488e-01 3.08385e+03 1.00522e+02
1.62494e-01 2.79580e+03 9.27524e+01
1.67530e-01 2.56881e+03 8.58481e+01
1.72567e-01 2.44772e+03 8.12192e+01
1.77538e-01 2.34954e+03 7.71025e+01
1.82552e-01 2.14707e+03 7.15287e+01
1.87534e-01 1.94216e+03 6.83948e+01
1.92529e-01 1.60306e+03 6.29015e+01
1.97533e-01 1.57169e+03 6.02766e+01
2.02527e-01 1.54143e+03 5.68102e+01
2.07534e-01 1.37894e+03 5.43011e+01
2.12532e-01 1.35535e+03 5.05980e+01
2.17570e-01 1.35720e+03 4.86987e+01
2.22563e-01 1.19640e+03 4.61019e+01
2.27555e-01 1.10295e+03 4.39060e+01
2.32496e-01 9.93003e+02 4.23156e+01
2.37493e-01 9.03455e+02 3.93066e+01
2.42529e-01 8.47911e+02 3.82242e+01
2.47528e-01 7.36170e+02 3.63572e+01
2.52500e-01 6.57981e+02 3.51138e+01
2.57465e-01 6.51711e+02 3.34291e+01
2.62514e-01 5.79595e+02 3.18445e+01
2.67526e-01 4.78310e+02 3.08546e+01
2.72491e-01 4.47922e+02 2.96324e+01
2.77487e-01 3.54594e+02 2.82088e+01
2.82537e-01 3.87577e+02 2.72693e+01
2.87517e-01 3.17889e+02 2.66358e+01
2.92491e-01 2.49827e+02 2.53304e+01
2.97525e-01 2.08261e+02 2.44541e+01
3.02502e-01 1.49248e+02 2.38258e+01
3.07495e-01 1.38679e+02 2.27538e+01
3.12515e-01 5.38740e+01 2.19484e+01
3.17516e-01 4.01869e+01 2.13963e+01
3.22499e-01 -3.53015e+01 2.07054e+01
3.27532e-01 -4.20242e+00 1.99246e+01
3.32525e-01 -7.64069e+01 1.95670e+01
3.37493e-01 -7.66184e+01 1.87597e+01
3.42523e-01 -1.22969e+02 1.81933e+01
3.47533e-01 -1.48766e+02 1.77741e+01
3.52512e-01 -1.63559e+02 1.72938e+01
3.57491e-01 -2.07180e+02 1.68013e+01
3.62531e-01 -2.07348e+02 1.62322e+01
3.67515e-01 -2.40554e+02 1.60009e+01
3.72493e-01 -2.40694e+02 1.53442e+01
3.77512e-01 -2.83416e+02 1.50416e+01
